image,dst_idx,dst_type,dst_lev,dmos_std,dmos,name,ahiq,ckdn,deepdc,dists,fsim,gmsd,lpips,mad,ms_ssim,nlpd,pieapp,psnr,psnry,ssim,stlpips,topiq_fr,vif,vsi,wadiqam_fr,ckdn_imagenet,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
1600,1,noise,1,0.061,0.062,1600.noise.1.png,0.48547894,0.6187111,0.0043319464,0.018362403,0.99797595,0.0042101364,0.0140624195,19.5632140896987,0.996732906021485,0.059654992,0.16212508,37.879425,41.42382,0.973945461111393,0.0056751096,0.938682,0.9225351,0.999256545137636,0.008213046,0.93556666,0.02393525,0.9999833,0.956143,0.813719
1600,1,noise,2,0.097,0.206,1600.noise.2.png,0.4062822,0.6076882,0.018987536,0.04203856,0.99294424,0.014925048,0.056563597,53.7795900593445,0.988830761565563,0.11012448,0.40833062,32.28047,35.84289,0.918987109163265,0.029013773,0.88648343,0.8062401,0.997157005792844,-0.0009917365,0.8719445,0.25607038,0.9999566,0.94325787,0.7772608
1600,1,noise,3,0.033,0.262,1600.noise.3.png,0.3104199,0.59169775,0.052404284,0.088867724,0.97884357,0.041787617,0.11856263,91.948608051771,0.970051716043939,0.18285567,0.91023415,27.479694,31.017117,0.814164095821023,0.11281341,0.6969875,0.64586437,0.991288267003057,-0.019861512,0.7153043,0.91101766,0.99903834,0.90013224,0.6391569
1600,1,noise,4,0.107,0.375,1600.noise.4.png,0.21635683,0.5567313,0.10673529,0.15692139,0.9523194,0.086070076,0.20673099,126.606784901287,0.935690078182836,0.2750598,1.6513656,23.365126,26.873102,0.678933374082112,0.2516309,0.5264061,0.4917719,0.978394339569199,-0.043065943,0.55717915,2.3305092,0.8477816,0.76194406,0.46908697
1600,1,noise,5,0.12,0.467,1600.noise.5.png,0.123853065,0.51612777,0.17213285,0.22870088,0.91364324,0.13572909,0.34093222,154.430567693972,0.88903273178074,0.37380618,2.5714145,20.046871,23.512249,0.548071914201991,0.39609995,0.43556303,0.37373337,0.959293611479327,-0.07038387,0.44610262,4.74791,0.5116834,0.69152355,0.38462383
1600,2,jpeg,1,0.004,0.013,1600.jpeg.1.png,0.51509684,0.6233706,0.0036153793,0.009526312,0.99958664,0.00027372997,0.004958616,29.4582997190102,0.999904150294727,0.015886765,0.22945358,36.94528,52.910313,0.999313481646926,0.007578064,0.93861014,0.99337775,0.999268731924458,0.008846256,0.9545856,0.012233787,0.9999951,0.96949244,0.8259625
1600,2,jpeg,2,0.063,0.069,1600.jpeg.2.png,0.50841904,0.62001747,0.015358329,0.040551245,0.99720395,0.0027219611,0.01516621,54.9710253686008,0.997384887138463,0.07388456,0.3321044,32.40285,36.947067,0.971133058613159,0.01069374,0.93717307,0.9086417,0.997947355552289,0.0069792275,0.9398993,0.052752495,0.99998677,0.96497947,0.805402
1600,2,jpeg,3,0.084,0.197,1600.jpeg.3.png,0.48233682,0.6185384,0.06487262,0.120043874,0.984726,0.020286635,0.07754542,99.137295699461,0.985000776165517,0.16421646,0.655899,27.623446,29.9553,0.891600865062562,0.026865844,0.84655315,0.5958846,0.992343493786484,-0.0039422433,0.8555705,0.3997931,0.99991286,0.9532148,0.7405662
1600,2,jpeg,4,0.083,0.501,1600.jpeg.4.png,0.3259923,0.6016127,0.17161685,0.23668295,0.920387,0.113842465,0.24631843,154.607097179716,0.921073235561913,0.3313126,1.6019033,23.467035,25.243496,0.722894685036211,0.1246215,0.46328992,0.26408613,0.971169173326858,-0.053381268,0.41387,3.467084,0.4952272,0.5370456,0.38762778
1600,2,jpeg,5,0.059,0.687,1600.jpeg.5.png,0.19726911,0.4933536,0.28949744,0.3247069,0.8259808,0.20853847,0.4212209,196.535729989973,0.845481754954509,0.45054835,2.4073355,20.550251,23.011776,0.602408808867744,0.28035486,0.27365798,0.14185047,0.940184590017259,-0.09923759,0.03546102,10.115786,2.435881e-11,0.18768486,0.083563425
