imageName,refName,imageNumber,codec,targetBpp,realBpp,dmos,standDev,psnr,ssim,ms_ssim,fsim,vif,pieapp,lpips,topiq_fr,dists,wadiqam_fr,ckdn_imagenet,ahiq,ckdn,cw_ssim,deepdc,gmsd,mad,nlpd,psnry,stlpips,vsi,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
crop_01_00002_TE_2144x1424_8bit_sRGB_006.png,00002_TE_2144x1424.png,2,1,6,0.05291223,75.01100917,20.45053706,20.799393,0.717519107225477,0.872751247606248,0.8837366,0.16329521,3.339305,0.51971674,0.34054297,0.22581089,-0.095953986,0.1040162,0.25790784,0.62531376,0.865479658253952,0.31456202,0.15521206,175.225774908996,0.40410098,21.595676,0.387459,0.967557617504729,12.961984,1.6308863e-05,0.37204814,0.15233801
crop_01_00002_TE_2144x1424_8bit_sRGB_025.png,00002_TE_2144x1424.png,2,1,25,0.225843221,56.81559633,25.77074714,24.408031,0.813787553274341,0.952861414296428,0.9566426,0.29538044,1.4099368,0.3328811,0.5840082,0.14122379,-0.045858394,0.54000795,0.33629748,0.65097517,0.951936389994653,0.1502245,0.08292274,121.592911478786,0.26205745,25.243385,0.18426728,0.988654663066087,2.7132776,0.52141005,0.9494434,0.743572
crop_01_00002_TE_2144x1424_8bit_sRGB_050.png,00002_TE_2144x1424.png,2,1,50,0.458158645,20.17706422,29.26922683,29.218943,0.856595723944046,0.973875351863962,0.9865259,0.47779214,0.89711875,0.1450133,0.84971803,0.077524364,-0.010956035,0.80663913,0.4806095,0.621438,0.973387329811095,0.05646664,0.033267677,71.71850035576,0.1779614,29.696371,0.039228402,0.99629619175364,0.38480297,0.999699,0.974542,0.91376215
crop_01_00002_TE_2144x1424_8bit_sRGB_075.png,00002_TE_2144x1424.png,2,1,75,0.852459961,14.79357798,26.80708271,29.640362,0.894011277806506,0.987130824099066,0.99235874,0.5329184,0.79100275,0.1115142,0.8995711,0.040756643,-0.010300574,0.90946263,0.4932029,0.63621294,0.990325275520552,0.028529525,0.02113573,60.3718486328448,0.1403212,29.95495,0.06366996,0.997887252325125,0.31304428,0.99668854,0.98129773,0.93493384
crop_01_00005_TE_1336x872_8bit_sRGB_006.png,00005_TE_1336x872.png,5,1,6,0.058239027,60.5266055,27.96478993,20.10721,0.831075126555497,0.944132643149551,0.9311936,0.22793809,1.9829108,0.19231847,0.41061005,0.18306959,-0.06443934,0.29893085,0.29107925,0.6121111,0.94000034695014,0.21899086,0.13130236,170.010260376424,0.335514,22.015583,0.1275095,0.977217166649946,5.0750318,0.50637525,0.93314546,0.76901376
crop_01_00005_TE_1336x872_8bit_sRGB_012.png,00005_TE_1336x872.png,5,1,12,0.109665989,57.76605505,27.36466355,20.555191,0.877524065424939,0.962267541355245,0.94534284,0.29031548,1.9635658,0.1755123,0.48329195,0.17350781,-0.056383297,0.24963379,0.36187637,0.6792431,0.957581518205415,0.1989643,0.09999551,158.598677865908,0.2636841,24.517563,0.11687884,0.982160604939787,3.9760895,0.7748068,0.9623685,0.4466321
crop_01_00005_TE_1336x872_8bit_sRGB_025.png,00005_TE_1336x872.png,5,1,25,0.239829973,47.6,27.18970393,26.485336,0.92198571940293,0.973228801154329,0.97471106,0.40424374,1.3455579,0.11957245,0.6462336,0.12721944,-0.026838621,0.6326134,0.3911395,0.6525194,0.950943555750871,0.1090883,0.06011491,121.5968311861,0.19651902,28.59238,0.036082625,0.991934710402543,1.245753,0.9997004,0.99205774,0.8562304
crop_01_00005_TE_1336x872_8bit_sRGB_050.png,00005_TE_1336x872.png,5,1,50,0.426481899,36.09266055,28.08097304,27.47471,0.891364665637514,0.973932820556953,0.98440826,0.4943026,0.8822093,0.09971724,0.75110817,0.10827184,-0.029004326,0.75363255,0.43046913,0.65835965,0.958408041183675,0.09803754,0.038169563,110.557195813597,0.17442763,29.714605,0.04603952,0.99485563318063,1.3045796,0.9999157,0.98819923,0.9235057
crop_01_00006_TE_1544x1120_8bit_sRGB_006.png,00006_TE_1544x1120.png,6,1,6,0.055542191,76.6146789,19.76458619,18.770891,0.651037578394289,0.878753747046175,0.88757414,0.12052968,3.6946657,0.41712606,0.32041642,0.29649758,-0.08675336,0.06454814,0.27115476,0.6372566,0.910088883385787,0.3991763,0.15681833,151.135189504627,0.49599993,20.44776,0.47578916,0.94619592794786,13.160861,7.644967e-07,0.45417154,0.06995162
crop_01_00006_TE_1544x1120_8bit_sRGB_025.png,00006_TE_1544x1120.png,6,1,25,0.265641192,43.78990826,30.96630588,24.180927,0.846164208268821,0.9592044664788,0.96844953,0.30667332,0.9548445,0.15949821,0.61916214,0.14765036,-0.03653312,0.6430529,0.42519626,0.61466205,0.970879258061038,0.13722521,0.066636495,96.9131707396901,0.29225856,24.650705,0.07348358,0.990855137379572,1.1713611,0.99999857,0.9743172,0.9232991
crop_01_00006_TE_1544x1120_8bit_sRGB_050.png,00006_TE_1544x1120.png,6,1,50,0.434812176,33.81284404,27.94443406,24.89485,0.857506208462234,0.970281964227907,0.9806039,0.37374908,0.84683526,0.13923407,0.7330262,0.10916346,-0.026310293,0.7312471,0.45416245,0.6163754,0.974037305592725,0.10745245,0.046808694,89.8025004001777,0.25058335,25.24261,0.09417694,0.993658699716712,0.68361294,0.9999976,0.9812495,0.96358514
crop_01_00006_TE_1544x1120_8bit_sRGB_075.png,00006_TE_1544x1120.png,6,1,75,0.678428016,23.62752294,27.47792399,26.32426,0.893897315654294,0.979373260912513,0.99008477,0.44878426,0.67264104,0.1057842,0.8307794,0.08994776,-0.015115266,0.8449279,0.46353513,0.63235873,0.980128202843822,0.07484418,0.032389786,76.0368565321838,0.2033584,26.50528,0.042429514,0.996937313655226,0.38889515,0.9999783,0.9791697,0.9640536
crop_01_00007_TE_1472x976_8bit_sRGB_006.png,00007_TE_1472x976.png,7,1,6,0.055945964,69.5146789,27.68702152,19.931496,0.596761716465497,0.839863556510149,0.8592486,0.12433737,3.4661732,0.46446475,0.3335355,0.2851475,-0.10901038,0.042576775,0.24953495,0.5687134,0.876101364909483,0.38818175,0.20717908,136.29835338112,0.46115956,21.448524,0.4818216,0.948749303481815,18.789423,0.00065423845,0.5469424,0.053528562
crop_01_00007_TE_1472x976_8bit_sRGB_025.png,00007_TE_1472x976.png,7,1,25,0.239859898,55.64220183,27.65807709,22.716091,0.735009966194399,0.919494214517705,0.9181898,0.30345872,1.8288063,0.32041964,0.5087138,0.23288333,-0.06496259,0.4736895,0.35032272,0.6874766,0.912764598587903,0.16662532,0.14430353,99.596175621731,0.32924712,23.72139,0.24136765,0.97455004799128,4.7417674,0.51066273,0.5490524,0.29741913
crop_01_00007_TE_1472x976_8bit_sRGB_050.png,00007_TE_1472x976.png,7,1,50,0.492961511,22.34770642,28.70353236,27.796747,0.819714781260856,0.968649102321065,0.9771012,0.49303862,1.4029918,0.12741877,0.73560333,0.11397767,-0.027321417,0.6934868,0.4424889,0.63183916,0.953659859959693,0.06580275,0.04484509,55.9789502459861,0.20425388,28.189217,0.04570886,0.993600519046764,1.1651307,0.98169464,0.93084115,0.7760887
crop_01_00007_TE_1472x976_8bit_sRGB_075.png,00007_TE_1472x976.png,7,1,75,0.847102192,12.21284404,21.04217304,29.109802,0.8747501471531,0.98387426279121,0.9855562,0.5700452,0.81092554,0.103886545,0.8149503,0.08589506,-0.01441784,0.8861693,0.46115136,0.6448691,0.982661328955628,0.042174876,0.024017364,44.6667554090727,0.15447775,29.511997,0.03987795,0.99658900388941,0.5132528,0.96077764,0.9508644,0.9027851
crop_01_00009_TE_1976x1312_8bit_sRGB_012.png,00009_TE_1976x1312.png,9,1,12,0.12850548,75.26880734,21.00490418,17.370602,0.522558233514299,0.868044428077168,0.92269576,0.14133568,4.8828125,0.6277911,0.3155141,0.3079328,-0.10895799,0.0090687275,0.28186378,0.65122175,0.975987466724876,0.40284282,0.1616649,167.297509316086,0.47366995,18.785292,0.5999726,0.953723285131957,29.257862,1.692032e-08,0.31522977,0.12856746
crop_01_00009_TE_1976x1312_8bit_sRGB_050.png,00009_TE_1976x1312.png,9,1,50,0.47301459,47.3706422,27.82591131,21.292631,0.742532699919886,0.935252057133962,0.9734174,0.3002857,1.4495637,0.2630513,0.59632206,0.1481154,-0.045383554,0.5592906,0.44182226,0.59678835,0.98435064379679,0.11507565,0.102105014,104.144935357536,0.34553355,21.819525,0.07026747,0.987752893680997,1.9403552,0.9999832,0.96438426,0.86130697
crop_01_00009_TE_1976x1312_8bit_sRGB_075.png,00009_TE_1976x1312.png,9,1,75,0.643635208,36.90642202,22.25371333,21.899517,0.760512388155936,0.9493209256984,0.98367405,0.3660384,1.1572037,0.21449949,0.6885248,0.11713058,-0.031934,0.66456443,0.487367,0.6085305,0.994379401225026,0.086711764,0.08835826,91.5447132427051,0.29769522,22.405766,0.054081522,0.992179282685102,1.2551267,0.9999747,0.9685092,0.902883
crop_01_00009_TE_1976x1312_8bit_sRGB_100.png,00009_TE_1976x1312.png,9,1,100,1.147936827,32.18073394,25.98594001,22.40353,0.799751970673189,0.959859649549821,0.9880919,0.42047054,0.84131646,0.20889778,0.7555057,0.08526242,-0.02552634,0.7533812,0.49972984,0.6178064,0.997298223371556,0.05675572,0.081870586,83.6252462008601,0.26139596,22.93133,0.06278305,0.994230458713382,0.8285735,0.99981743,0.9624751,0.9197162
crop_01_00010_TE_2000x1128_8bit_sRGB_006.png,00010_TE_2000x1128.png,10,1,6,0.064386525,73.66422018,21.82970169,18.805357,0.763931673921619,0.924921002435173,0.9349967,0.19820762,4.269,0.5276143,0.33829358,0.28389746,-0.09788647,0.06625225,0.26887557,0.58487225,0.942992520490065,0.3817287,0.10127664,152.141755484998,0.2978413,24.978405,0.54942286,0.958685555805075,14.397632,9.099494e-09,0.42983785,0.0008687075
