dist_img,ref_img,dmos,var,psnr,ssim,ms_ssim,fsim,vif,pieapp,lpips,topiq_fr,dists,wadiqam_fr,ahiq,ckdn,cw_ssim,deepdc,gmsd,mad,nlpd,psnry,stlpips,vsi,ckdn_imagenet,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
I01_01_01.png,I01.png,4.57,0.496,80,1,1,0.99999994,0.99999887,-1.8626451e-09,0,0.9319653,-1.1920929e-07,0.0055674296,0.53717905,0.6030986,0.999999996674887,0,0,0,0,80,0,0.999999921061422,0.96643275,0,0.9967373,0.94332105,0.91626716
I01_01_02.png,I01.png,4.33,0.869,40.253273,0.993730531700493,0.999145320575912,0.99845576,0.88501716,0.3231778,0.014819492,0.9206726,0.026337743,-0.0016049973,0.49761277,0.59243774,0.999980931950227,0.010777056,0.0045017703,18.472581302335,0.029010503,40.365753,0.009426137,0.999518007434499,0.9478396,0.05456584,0.98583883,0.92646676,0.9140697
I01_01_03.png,I01.png,2.67,0.789,31.206396,0.946813839971814,0.990782906640256,0.9847403,0.5985558,1.4388341,0.14040522,0.5833322,0.12981576,-0.044703074,0.3553131,0.533892,0.999807612725523,0.11583078,0.03245948,76.0930105565005,0.09406587,31.340483,0.08834013,0.994675450636735,0.77289885,1.222351,0.42240226,0.7690456,0.80992883
I01_01_04.png,I01.png,1.67,0.596,26.918394,0.859560410924841,0.961009236398118,0.93780327,0.32196295,3.1961696,0.29873565,0.35527432,0.23501891,-0.09278977,0.20100121,0.41089714,0.998173772941366,0.2770939,0.09165148,130.524968402182,0.18114418,27.175901,0.26376373,0.975703259559587,0.3483751,8.572611,1.3311301e-05,0.33872426,0.37086904
I01_01_05.png,I01.png,1.1,0.3,20.46537,0.733591259317212,0.856276675286217,0.8196471,0.09741025,4.7305393,0.5090834,0.24357723,0.37000948,-0.11219124,-0.060474314,0.37191513,0.953039102373494,0.4769193,0.1922441,182.143795692023,0.34760663,21.366066,0.45101205,0.929131202847959,0.01420195,35.914837,1.3269669e-08,0.13066055,0.21718317
I01_02_01.png,I01.png,3.83,0.86,35.094563,0.978389492252499,0.997041110515963,0.99518955,0.7708323,0.684569,0.05727728,0.829081,0.0707522,-0.013789868,0.45143136,0.5805075,0.999942383528119,0.042875826,0.012612659,44.1161113418117,0.055780016,35.197277,0.029227164,0.998428868379048,0.91490775,0.2509856,0.8995332,0.8975907,0.9006029
I01_02_02.png,I01.png,2.27,0.772,29.835526,0.926421450921555,0.986768432651339,0.9793223,0.53488797,1.7947409,0.17811447,0.516868,0.14776367,-0.057190403,0.32342425,0.510292,0.999731734321197,0.14586574,0.04106086,92.0891056247094,0.11509111,29.97303,0.11698978,0.992556684285235,0.6989676,1.958221,0.10036906,0.6835573,0.733688
I01_02_03.png,I01.png,1.53,0.67,25.829718,0.821033533815926,0.944794877299611,0.91650903,0.2442064,3.6668906,0.31529936,0.3216467,0.25134718,-0.09899932,0.16219944,0.39506745,0.996848485775647,0.29374152,0.11595277,141.311835021457,0.21759844,26.093777,0.30595964,0.966252483613542,0.26000178,11.671494,1.7522966e-06,0.27648562,0.29645464
I01_02_04.png,I01.png,1.23,0.418,22.793215,0.755206812411296,0.895978969517486,0.85588497,0.13534687,4.379244,0.40610018,0.26645362,0.3051613,-0.10674806,0.053798087,0.3734376,0.989991684186936,0.3805045,0.17324537,164.002162590527,0.29860792,23.402046,0.39288306,0.939770459729341,0.076607615,21.454258,3.843413e-08,0.18296155,0.25453705
I01_02_05.png,I01.png,1.2,0.4,20.433952,0.717646116124538,0.849282129651825,0.8147774,0.08386772,4.50739,0.4664095,0.24321035,0.3530587,-0.10967803,-0.01976127,0.36456144,0.967456886637304,0.4366637,0.20015006,176.737740524354,0.36106563,21.261105,0.43159258,0.925148928134412,0.021175357,31.654692,1.3215137e-08,0.14746316,0.23648624
I01_03_01.png,I01.png,4.73,0.442,80,1,1,0.99999994,0.99999887,-1.8626451e-09,0,0.9319653,-1.1920929e-07,0.0055674296,0.53717905,0.6030986,0.999999996674887,0,0,0,0,80,0,0.999999921061422,0.96643275,0,0.9967373,0.94332105,0.91626716
I01_03_02.png,I01.png,3.97,0.657,35.62646,0.983464950110793,0.997662171336466,0.9956045,0.8253499,0.58229727,0.04945721,0.88966197,0.05254227,-0.017302359,0.47757074,0.58179694,0.999960800623391,0.03618008,0.014232639,40.038125596506,0.049653124,35.742027,0.018834217,0.998574741577802,0.9223209,0.2387646,0.96045357,0.91207576,0.9023788
I01_03_03.png,I01.png,2.7,0.936,30.430595,0.939515614705864,0.988499467178932,0.9809125,0.5972373,1.5478895,0.13449791,0.55885106,0.125085,-0.064449854,0.36477318,0.5343934,0.999716551696905,0.11792171,0.040832628,80.2537420361952,0.10571198,30.602282,0.091332674,0.993168902125169,0.727022,1.7817713,0.38577038,0.71896833,0.7917675
I01_03_04.png,I01.png,2.03,0.795,28.089825,0.895661434529182,0.975285550667461,0.9612085,0.43973055,2.2770865,0.17169532,0.43435496,0.1677469,-0.08793719,0.3137984,0.485809,0.999041236886298,0.18150479,0.06833093,101.469582471999,0.15515584,28.31565,0.15111557,0.985247246329248,0.5292554,4.136335,0.0058314204,0.50899845,0.59492195
I01_03_05.png,I01.png,1.5,0.5,25.133347,0.80943283884468,0.926905003627079,0.8948996,0.26280412,3.2742913,0.26011294,0.32036495,0.24850589,-0.09668466,0.19829917,0.3859179,0.992126924154605,0.29052693,0.14539783,146.787135339127,0.24612436,25.4712,0.25008625,0.955581500547894,0.17690499,10.645303,1.5579782e-05,0.3096661,0.34164655
I01_04_01.png,I01.png,4.73,0.512,37.208035,0.997271459195174,0.999218838795238,0.99829304,0.9691276,0.3880005,0.035850175,0.9325424,0.043933034,0.0037593953,0.542824,0.60209507,0.999632667884683,0.021067023,0.004159248,32.3950366716872,0.023358654,50.07254,0.010043403,0.99870879272799,0.9391662,0.30554467,0.99631184,0.944345,0.89911276
I01_04_02.png,I01.png,2.17,1.035,11.916248,0.947433162795649,0.941239473639011,0.9210396,0.6458659,0.83107966,0.3085726,0.50931954,0.16205865,-0.06244097,0.2789797,0.43861884,0.933567171840126,0.14586562,0.048744004,171.074512601269,0.19292378,23.688236,0.35020453,0.971665053850828,0.31397521,3.907158,9.542641e-10,0.33352742,0.02875249
I01_04_03.png,I01.png,1.37,0.547,10.024057,0.877810642359338,0.854640020221337,0.82952714,0.5382954,0.9697034,0.4315551,0.33996284,0.24675477,-0.081057645,0.20404196,0.369303,0.835476526453992,0.2436732,0.089409426,185.248319623268,0.27901542,19.843977,0.47576112,0.946247076641769,0.27507687,9.074438,1.6877304e-14,0.12025271,0.00033201624
I01_04_04.png,I01.png,1.5,0.619,9.263597,0.831089332239087,0.791581981629668,0.7948779,0.51004773,1.1486317,0.49314266,0.3151613,0.28385735,-0.08239973,0.18555418,0.36134404,0.783065694159069,0.30175817,0.1088546,204.143501057358,0.3346944,16.993982,0.5348219,0.932375195831279,0.14472139,11.893383,5.287591500000001e-16,0.06828795,5.461271e-05
I01_04_05.png,I01.png,1.47,0.806,7.697675,0.736420552570957,0.667546473943767,0.7428894,0.43692598,1.5942355,0.60411346,0.28366822,0.3384415,-0.1019528,0.13319592,0.34614998,0.68578911114551,0.39398986,0.14821415,203.331871761307,0.43486017,12.188541,0.65377283,0.904269763475653,0.0053376807,17.172434,8.798233e-19,0.0148819825,4.9184223e-07
I01_05_01.png,I01.png,4,0.856,31.888683,0.983070179170103,0.994546193457694,0.9851589,0.6916584,0.47005582,0.0406999,0.82654375,0.065687954,-0.016661888,0.42544246,0.607131,0.999185943477118,0.06622076,0.04318688,22.2663292835847,0.106743,31.74471,0.007702405,0.992164820379604,0.9355071,0.35013855,0.92378235,0.90024096,0.8388355
I01_05_02.png,I01.png,2.2,0.909,28.249043,0.961635953105949,0.980232476650593,0.9608268,0.62252873,1.5958127,0.0872182,0.41210833,0.12685156,-0.06306441,0.37907878,0.5789596,0.995254691829304,0.18125755,0.08339807,31.14879874165,0.17528912,28.105068,0.05133552,0.977099242234798,0.35713062,1.8793769,0.46869048,0.5557708,0.3536632
I01_05_03.png,I01.png,1.57,0.559,27.204056,0.954716851159732,0.968752220251652,0.94677436,0.60731065,1.982209,0.10543627,0.34143704,0.15592283,-0.06568949,0.38514534,0.5792515,0.981309267649202,0.2203579,0.09592511,36.3116348230302,0.208728,27.060081,0.05036763,0.9684174571209,0.14575063,3.330841,0.42374521,0.54553837,0.33991393
I01_05_04.png,I01.png,1.33,0.537,27.016579,0.956854267039551,0.965924671781482,0.9460479,0.62115127,2.2984648,0.10684018,0.32846308,0.16319114,-0.06962102,0.39187503,0.5707464,0.965993023876026,0.22397697,0.09106821,38.0649014139684,0.21596512,26.872604,0.047301672,0.966268792259401,0.13940556,3.916831,0.37220177,0.60230815,0.39687428
I01_05_05.png,I01.png,1.6,0.611,27.126217,0.957623365136431,0.966548831093913,0.9476758,0.61790556,2.0624545,0.11782882,0.33008617,0.15784794,-0.06191024,0.36880627,0.5770586,0.924492636571557,0.2125898,0.09090589,38.4870010814256,0.21834294,26.982243,0.055091154,0.96793877449452,0.15578999,3.9748526,0.27794862,0.5038324,0.33292025
I01_06_01.png,I01.png,4.23,0.761,29.047136,0.825798384850697,0.982438783794017,0.98821574,0.8067227,0.3690512,0.16150679,0.9046845,0.15406615,-0.003086017,0.43907753,0.5868314,0.996420164347552,0.14056689,0.021161081,91.4086097732711,0.14488393,30.37279,0.010934326,0.9967929592593,0.9170296,0.39624566,0.9763939,0.90335345,0.88564557
I01_06_02.png,I01.png,4.4,0.554,28.580715,0.776779558964022,0.976813141668728,0.9844775,0.77941483,0.3441328,0.20295009,0.8946845,0.16897535,-0.00682273,0.3727859,0.5900992,0.995002656303637,0.16189367,0.022426698,96.1732045446048,0.16577674,29.99416,0.017584983,0.995831622325371,0.9163366,0.5761018,0.96421146,0.88612384,0.8590073
I01_06_03.png,I01.png,3.9,0.943,27.504557,0.725595629857357,0.970069712564326,0.9780026,0.7265098,0.49589986,0.25812238,0.8440319,0.19167984,-0.010869934,0.34823942,0.581058,0.99317026958017,0.20308876,0.028400257,110.880465306193,0.19049744,28.741018,0.026158158,0.994447942929544,0.8633845,0.92860013,0.87588006,0.8406412,0.7636757
I01_06_04.png,I01.png,2.9,0.831,20.234364,0.61064839154202,0.943977323150904,0.95358056,0.6157248,0.8790423,0.35173506,0.62642056,0.25024557,-0.025756719,0.27532887,0.551799,0.97888300748279,0.28477085,0.051210202,143.668711690348,0.2696254,21.335651,0.05247808,0.988111453690536,0.6902037,1.975099,0.51146674,0.57983774,0.7786919
I01_06_05.png,I01.png,2.27,0.929,17.836927,0.466221633228385,0.908244009436639,0.9128815,0.48568994,1.9173983,0.48669055,0.47668898,0.31676263,-0.05959842,0.139226,0.53352803,0.966459666949619,0.42074424,0.08383489,163.960197902921,0.34833097,18.706638,0.114681706,0.974463422822158,0.47614184,4.849802,0.26480412,0.36047867,0.3987558
