MOS,dist_image,ref_image,std,ahiq,ckdn,cw_ssim,deepdc,dists,fsim,gmsd,lpips,mad,ms_ssim,nlpd,pieapp,psnr,psnry,ssim,stlpips,topiq_fr,vif,vsi,wadiqam_fr,ckdn_imagenet,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
0.05504,img01_4_01.bmp,img01.bmp,0.02888,0.20872514,0.39018872,0.993681205321417,0.2543977,0.23467761,0.8142517,0.1019273,0.4833284,124.971883367941,0.928279255649856,0.23679018,3.8602378,28.399714,28.436834,0.737334276667416,0.47491568,0.3387928,0.22400694,0.957341874500234,-0.09359018,0.20131259,15.900443,1.5320377e-07,0.26769906,0.04686405
0.95704,img01_2_16.bmp,img01.bmp,0.02972,0.6078562,0.65133625,0.999971308266412,0.038481236,0.0870353,0.95907885,0.004949875,0.10976434,48.8695338671986,0.994556169709642,0.09535281,0.32020277,34.32733,34.382645,0.915359144911276,0.0076073795,0.8961603,0.73861897,0.990169747183113,-0.003678238,0.9375386,0.17709705,0.99820364,0.9709651,0.85804087
0.32439,img01_4_07.bmp,img01.bmp,0.05868,0.36306038,0.5748166,0.999833528827759,0.1406309,0.16484374,0.87932163,0.06081719,0.32083338,99.6042724694359,0.958228081534281,0.18430912,1.9088616,29.809761,29.894686,0.78613907055727,0.23143443,0.49101245,0.35005653,0.97050206308484,-0.06379273,0.5868352,2.6331673,0.068876505,0.80168915,0.60973454
0.7398,img01_3_18.bmp,img01.bmp,0.04655,0.48863545,0.62966305,0.999951562132339,0.09765035,0.121999204,0.9145862,0.029637689,0.24475351,76.9369647998466,0.978056173140867,0.13957863,0.729428,31.71198,31.758842,0.847786068213457,0.11902241,0.7199592,0.50918627,0.978551662305461,-0.033365957,0.8197099,0.98520446,0.59594715,0.95245206,0.8523461
0.16693,img01_3_01.bmp,img01.bmp,0.02742,0.2840487,0.44552737,0.998431556329142,0.17815101,0.17761528,0.85916245,0.06600157,0.36920038,105.094780668841,0.95614929037331,0.19081828,2.6802957,29.632961,29.664715,0.785349320579314,0.35785657,0.40587872,0.3332379,0.965796475651818,-0.08194957,0.43444264,7.50818,3.3055127e-05,0.48298705,0.22213188
0.87093,img01_2_11.bmp,img01.bmp,0.05557,0.5355574,0.62153834,0.999964138257864,0.04698199,0.08471066,0.9505052,0.0005904923,0.11436104,58.2528419279215,0.995126038002219,0.11135934,0.5532738,33.262657,33.305374,0.902305904543757,0.022699248,0.8633351,0.652106,0.98825257301958,-0.014807202,0.8832574,0.24453625,0.9810813,0.9606403,0.8747646
0.2815,img01_3_11.bmp,img01.bmp,0.08288,0.35464653,0.5224038,0.991249561852176,0.12735593,0.16899604,0.8974653,0.06776994,0.24316333,99.7812064868544,0.955462705449756,0.22307387,1.6161416,29.819946,29.846504,0.809209327898979,0.1404547,0.4953842,0.30308124,0.975790411235172,-0.04871834,0.5476208,2.476688,0.45423213,0.87354547,0.7690749
0.55649,img01_4_20.bmp,img01.bmp,0.06941,0.37840316,0.5973851,0.999736006469594,0.15890557,0.16224748,0.88202703,0.052302442,0.32204652,93.8185415822468,0.963776705762979,0.17316249,1.2219645,30.060966,30.40239,0.80422630876371,0.2317223,0.5586418,0.38142443,0.970790530140453,-0.056881543,0.673357,2.2266276,0.39462256,0.8761286,0.6794114
0.15295,img01_4_03.bmp,img01.bmp,0.03218,0.29960167,0.47926795,0.999609034164236,0.18658692,0.19054335,0.8500272,0.078688204,0.35483593,122.292379849703,0.948848188729571,0.21315742,2.7551723,29.129387,29.177439,0.764039079232731,0.34962904,0.37830406,0.28711167,0.96430102475285,-0.08390286,0.4211421,6.903153,0.00013054778,0.5330648,0.2670821
0.92393,img01_2_08.bmp,img01.bmp,0.02645,0.58513033,0.6521023,0.999982893910456,0.04737717,0.09022933,0.95525235,0.005350664,0.12657565,55.3586718494174,0.994233316138215,0.09771987,0.37222546,33.84024,33.885574,0.910404681512721,0.02080562,0.8890249,0.71582544,0.989252829424502,-0.0062075476,0.9291083,0.25026482,0.9962394,0.96801555,0.8452666
0.29622,img01_3_04.bmp,img01.bmp,0.0463,0.31963214,0.5179446,0.998177585244663,0.14526719,0.1479938,0.86577666,0.06688696,0.26227504,100.43771131576,0.957397351054208,0.19634822,1.8976283,29.805035,29.87888,0.783313384232195,0.2729147,0.4685886,0.30922168,0.967443376884537,-0.07339605,0.517637,3.887104,0.0022840034,0.6620285,0.3987642
0.76297,img01_3_19.bmp,img01.bmp,0.0663,0.47418496,0.63039887,0.999863068092385,0.09505594,0.12481892,0.9129083,0.030274129,0.23110506,78.2214267271555,0.977187984893639,0.1430521,0.7971336,31.706345,31.778145,0.844903737318896,0.1218978,0.7322424,0.49579826,0.978381863546083,-0.03147009,0.8171827,0.9621105,0.7263222,0.95203066,0.83732545
0.39949,img01_4_13.bmp,img01.bmp,0.05361,0.37331328,0.5819625,0.999934698946419,0.16221732,0.16662979,0.87583727,0.05874084,0.32882622,98.4441947834166,0.960579774779514,0.18543085,1.7025056,30.006882,30.065773,0.792448165347896,0.25678524,0.49544173,0.36354277,0.969163482359188,-0.06686813,0.60942876,2.8651714,0.033565428,0.7882802,0.57503396
0.66468,img01_4_17.bmp,img01.bmp,0.08476,0.36661565,0.6266727,0.994150384091466,0.1418187,0.15616214,0.8918922,0.05321215,0.3193167,99.2728434595947,0.960793339554273,0.1996778,1.0049472,27.918358,28.238586,0.799841014803124,0.22549783,0.59370047,0.39995292,0.973399298113126,-0.053730827,0.71529114,1.7585427,0.50948066,0.9097026,0.7723885
0.5149,img01_4_21.bmp,img01.bmp,0.13095,0.31896806,0.5928233,0.997121996759744,0.06818044,0.11858767,0.8832225,0.06377949,0.15379146,100.870828719878,0.947947828841713,0.23242198,1.049911,27.588417,27.847618,0.733219888504095,0.098606,0.67989856,0.3219602,0.972013345705323,-0.047749143,0.6941528,0.8565098,0.5856013,0.9021987,0.7161946
0.48541,img01_4_18.bmp,img01.bmp,0.06399,0.40307274,0.59005135,0.999925346346877,0.15315181,0.15828562,0.88385755,0.0521254,0.33643627,93.5859039907301,0.963870800948897,0.16962436,1.3644584,30.46358,30.52039,0.804087064749082,0.24148977,0.5339694,0.38368735,0.971156035814194,-0.059922423,0.65665257,2.522777,0.23643042,0.8444726,0.64366084
0.0915,img01_4_04.bmp,img01.bmp,0.0273,0.22633794,0.4353454,0.994653769981348,0.19112873,0.19316751,0.8302353,0.099733375,0.30860978,117.678180180983,0.930638462238817,0.24551192,2.7927973,28.5386,28.625553,0.731509365356399,0.3458208,0.36855292,0.20773864,0.959803438042454,-0.081064984,0.31102598,7.1177287,8.229108e-06,0.39690048,0.1219311
0.93589,img01_2_20.bmp,img01.bmp,0.04533,0.5516731,0.64810735,0.999899791518536,0.041921616,0.09051925,0.9567544,0.0054204464,0.109797895,52.5029987495053,0.993999839731042,0.10039233,0.37868178,33.169083,33.823765,0.911142888726228,0.014641666,0.8821439,0.72619915,0.989465912552461,-0.00544579,0.9293088,0.20684284,0.99632627,0.96858245,0.8542492
0.15922,img01_4_02.bmp,img01.bmp,0.03403,0.2885325,0.46205872,0.999855318324584,0.21715683,0.2084735,0.8487723,0.07902334,0.45476386,114.577770406251,0.9485227595725,0.1982727,2.9664226,29.273125,29.306183,0.765776211076565,0.38736615,0.38134044,0.29127145,0.964084939265802,-0.085093416,0.40752572,8.197688,2.2727401e-05,0.4808728,0.20119306
