Image_Path,Reference_Name,DMOS,psnr,ssim,ms_ssim,fsim,vif,pieapp,lpips,topiq_fr,dists,wadiqam_fr,ckdn_imagenet,ahiq,ckdn,cw_ssim,deepdc,gmsd,mad,nlpd,psnry,stlpips,vsi,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
jp2k/img2.bmp,studentsculpture.bmp,28.0038453568986,30.363415,0.937673228150219,0.990284901977244,0.9894117,0.6554362,0.3586262,0.042182676,0.8926349,0.07159454,0.0019219687,0.9503739,0.5782618,0.60818523,0.9989755281231,0.03145218,0.021364233,13.2884243116172,0.13711718,32.00131,0.027857402,0.994807804892466,0.1833302,0.99999785,0.9900885,0.9212274
jp2k/img3.bmp,rapids.bmp,34.0107362802214,30.650942,0.847244691334308,0.969830705853968,0.9745533,0.48419318,0.71819514,0.18005152,0.85390687,0.103758335,-0.009774703,0.8387185,0.54736185,0.67221487,0.997068786927546,0.056961894,0.04106139,70.4497004514915,0.18245089,31.347675,0.117810756,0.992303745150684,0.587877,0.9990164,0.97140616,0.6473443
jp2k/img4.bmp,dancers.bmp,65.1314097068697,22.135506,0.682729851090993,0.918464608240394,0.8958262,0.22559752,2.4136534,0.3598618,0.40950197,0.22766107,-0.061238438,0.26832744,0.38371202,0.56387645,0.982932503593476,0.23041439,0.13703915,143.028259378238,0.36262402,22.859003,0.18217865,0.961871646943415,5.749139,0.08640041,0.5782435,0.34202087
jp2k/img5.bmp,churchandcapitol.bmp,68.9113403034779,23.140974,0.709978945024049,0.902970366796668,0.8863723,0.18324023,2.4920669,0.4672777,0.32325006,0.3070789,-0.07861365,0.12882827,0.34173405,0.5655448,0.950648709732779,0.27675313,0.13289252,127.851007566181,0.35522172,23.621838,0.26925293,0.964566948881865,10.207616,0.00015262185,0.50405514,0.16556635
jp2k/img6.bmp,dancers.bmp,65.1501025330613,21.641588,0.653071409063141,0.906898397040787,0.88517475,0.1995274,2.730579,0.4219092,0.38451108,0.23636901,-0.077205464,0.19701421,0.3673416,0.5592897,0.982344751708982,0.25240618,0.14634323,153.016048146141,0.38301405,22.281427,0.22868511,0.95709553215199,7.6139765,0.0011260025,0.5183954,0.22975002
jp2k/img7.bmp,churchandcapitol.bmp,54.397266042948,27.124826,0.836399908107575,0.957433270390192,0.94755614,0.35437953,1.2866902,0.22057325,0.54346776,0.20418942,-0.035484858,0.63098437,0.45289525,0.6203128,0.981160293249545,0.11089486,0.07433478,74.0602669699788,0.2342851,27.892769,0.11432171,0.984131201951198,2.4043882,0.5081802,0.8403303,0.56859565
jp2k/img8.bmp,stream.bmp,44.3971449016331,26.1874,0.753729581256829,0.944025782662702,0.95995176,0.36897334,1.0146265,0.2766322,0.72379106,0.19643277,-0.021438835,0.71147966,0.5505816,0.5830941,0.993691632886802,0.12230587,0.071727864,85.2901822369896,0.27384293,26.545658,0.17269579,0.98517944028775,0.920453,0.56048524,0.8767435,0.6224261
jp2k/img10.bmp,woman.bmp,47.4300137613804,27.467497,0.777490827707989,0.943136080034861,0.9501479,0.32558918,1.2693335,0.27726907,0.6621753,0.17854762,-0.028826592,0.6670268,0.39381275,0.6116757,0.978333793009033,0.12585258,0.0693812,97.3844529207635,0.26060647,28.13271,0.16505851,0.985319088270287,1.9642973,0.5117629,0.8801843,0.6427452
jp2k/img12.bmp,sailing3.bmp,41.4124984247374,33.70615,0.892473065857534,0.975388683004506,0.9728652,0.45445335,1.1830531,0.20836094,0.70984995,0.1598885,-0.024139568,0.8194749,0.3921177,0.5936722,0.974991175932981,0.11738759,0.036816522,77.0681265214645,0.14805347,34.508945,0.094782844,0.993476634213796,1.0030782,0.9928792,0.93886286,0.87620044
jp2k/img13.bmp,buildings.bmp,49.5811431393116,24.922506,0.755807476457774,0.94494610885391,0.9407602,0.3236051,1.6324397,0.2577751,0.51624614,0.21942353,-0.044464283,0.5016366,0.39268142,0.5905903,0.992017968339187,0.13077676,0.09570282,118.557705086184,0.28264347,25.391964,0.15408377,0.978691411436532,2.7320423,0.5033769,0.682783,0.46927828
jp2k/img14.bmp,paintedhouse.bmp,48.8432474545071,27.683744,0.800793808082482,0.949819929496893,0.94905376,0.35481915,1.6709017,0.24766766,0.5357484,0.20843434,-0.039245997,0.58639854,0.41000262,0.60037136,0.989200230624928,0.13092595,0.07132265,121.339269414054,0.24134019,28.495443,0.1589843,0.985515965312813,2.1533575,0.5102012,0.845427,0.6169399
jp2k/img15.bmp,bikes.bmp,26.1379135774747,33.909172,0.954008889364833,0.992802732104372,0.9926515,0.73990774,0.40636912,0.022478726,0.9408491,0.033687294,0.010145863,0.96328616,0.54899234,0.71242154,0.999690170861925,0.010173202,0.01579073,32.6411272437773,0.106672786,35.23689,0.019249115,0.997262706997995,0.069954276,1,0.9949151,0.9195187
jp2k/img17.bmp,stream.bmp,62.4787039003104,23.960476,0.63461957317992,0.903828721650587,0.93577087,0.25355306,1.658473,0.47803807,0.47955883,0.23833877,-0.05126536,0.42755097,0.41583577,0.5929221,0.988745642787907,0.19700527,0.10211948,124.726017115321,0.34292293,24.216623,0.3387885,0.975447021002292,2.3634696,0.08932318,0.55497104,0.29983568
jp2k/img18.bmp,carnivaldolls.bmp,37.598876406689,31.170109,0.926240042602735,0.985815528908468,0.97850215,0.55463886,0.8233741,0.07517272,0.8712894,0.085996866,-0.009183284,0.83941966,0.5471449,0.6985327,0.995061757699535,0.07136041,0.032089673,76.0334988583309,0.1409598,32.673435,0.047622614,0.99337292351287,0.39553005,0.9999937,0.98399746,0.94226825
jp2k/img19.bmp,sailing1.bmp,19.9666222577323,42.118607,0.985630344671258,0.99761341377749,0.99864644,0.9231002,0.12956932,0.014687333,0.9338382,0.025824666,0.0028859435,0.9561964,0.6733429,0.5998959,0.999090102097475,0.0067982674,0.002961208,8.95368438452311,0.04672578,43.98563,0.0029616414,0.999485880259088,0.009696003,0.99991226,0.971001,0.9381984
jp2k/img21.bmp,coinsinfountain.bmp,32.6946988382485,29.730556,0.869336537632559,0.977098892323764,0.9752937,0.5022253,0.8878143,0.14631082,0.81625944,0.13261473,-0.013971143,0.8468696,0.47831193,0.6087756,0.998801051456985,0.09099132,0.03773555,78.4481553725006,0.17897587,31.087872,0.09697907,0.991680173042382,0.8219198,0.99621505,0.9616928,0.7780625
jp2k/img23.bmp,woman.bmp,41.9223474940462,29.014635,0.829299617893675,0.96394953323178,0.9686116,0.42507392,0.9551516,0.20309725,0.76775706,0.14877564,-0.017140446,0.7895855,0.4317269,0.629512,0.992810961681049,0.0919795,0.048322815,79.3517628198721,0.20537782,29.805737,0.11735654,0.990272718358006,0.9751959,0.8684228,0.9438011,0.71679777
