dis_img_path,dis_type,ref_img_path,score,psnr,ssim,ms_ssim,fsim,vif,pieapp,lpips,topiq_fr,dists,wadiqam_fr,ckdn_imagenet,ahiq,ckdn,cw_ssim,deepdc,gmsd,mad,nlpd,psnry,stlpips,vsi,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
MDID2016/distortion_images/img01_01.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,2.4855,20.277683,0.312497539603453,0.793785920537859,0.8389116,0.1097616,4.8300667,0.882811,0.31905776,0.4294392,-0.0895697,0.13962579,-0.011391378,0.38384378,0.925846205767107,0.46200168,0.15557612,171.643432431331,0.5519897,21.967602,0.6561264,0.952045158482768,21.942848,5.5822335e-07,0.23263092,0.12675595
MDID2016/distortion_images/img01_02.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,7.5241,28.929003,0.909274699475932,0.974214803471011,0.97934794,0.6281949,0.67934483,0.077838846,0.886323,0.08112168,-0.01970371,0.91477156,0.5856999,0.612864,0.974013114562648,0.02895087,0.022446647,79.9837084266601,0.17261943,29.041079,0.05022906,0.994799238458298,0.5300015,0.9560745,0.95767385,0.7727061
MDID2016/distortion_images/img01_03.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,5.455,22.283089,0.458731777821657,0.897503491694821,0.9089152,0.31597504,3.7111294,0.58353424,0.42955935,0.3367623,-0.071369626,0.41333187,0.13684118,0.50840825,0.994249146139139,0.26235807,0.10236364,149.589244508304,0.37690938,25.324425,0.5645016,0.969111740690252,4.8712306,0.21758156,0.55135274,0.3980922
MDID2016/distortion_images/img01_04.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,2.2139,19.50957,0.322963832686432,0.758466322849815,0.8284239,0.11829531,4.617848,0.7572847,0.31625286,0.40698266,-0.09219079,0.11927965,0.073210195,0.3636617,0.850871665174305,0.42234403,0.14226519,178.032837943132,0.5476214,21.063068,0.6239684,0.949264004625695,16.999805,4.6692185e-06,0.19981934,0.17011029
MDID2016/distortion_images/img01_05.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,1.3786,26.648111,0.684352030383634,0.873871572286408,0.8821982,0.102146454,3.7415116,0.6510772,0.28457034,0.31909573,-0.0953605,0.050055612,0.16015752,0.34429,0.939678411519987,0.3203274,0.13249852,150.116083737035,0.3429851,27.233591,0.45773557,0.966976920695212,26.472363,3.0338894e-09,0.17752849,0.032001853
MDID2016/distortion_images/img01_06.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,0.4467,21.557905,0.455789606674551,0.784709913952491,0.8193354,0.074297704,5.677793,0.6492844,0.2606114,0.38188827,-0.10524471,0.015070717,-0.024869457,0.34347025,0.881809114261105,0.44279766,0.18557401,168.673162870025,0.5361531,22.989048,0.5033032,0.946810963709839,21.138344,2.1475192e-10,0.12745762,0.013291799
MDID2016/distortion_images/img01_07.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,6.4514,24.68454,0.624410204357618,0.937526360354548,0.94436634,0.47428107,2.3825939,0.34652168,0.54779214,0.25061148,-0.036546495,0.5752368,0.20437694,0.5534741,0.996289914816015,0.14865476,0.061747562,127.987506358092,0.25492483,28.192045,0.429037,0.981592573996168,1.9354123,0.5111954,0.60500896,0.5384282
MDID2016/distortion_images/img01_08.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,2.4474,20.565868,0.386006526116893,0.78796042369166,0.8528875,0.11608515,4.2720675,0.7056012,0.33693966,0.4011641,-0.08825225,0.1736539,0.09550738,0.37252066,0.863127738162361,0.36745012,0.13653825,171.003981794654,0.5002928,21.751698,0.5758177,0.957754266221931,13.82812,1.8390429e-06,0.21501012,0.119827986
MDID2016/distortion_images/img01_09.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,0.078,20.248257,0.602231374363164,0.774836135083516,0.74223334,0.06916793,5.7316813,0.64706045,0.23045826,0.42921913,-0.11138731,0.007456189,-0.012802511,0.40260246,0.823827848323269,0.50087947,0.23261455,221.893248716525,0.55189776,20.969273,0.4061388,0.92883276020843,29.809872,3.688802e-11,0.119314566,0.006095511
MDID2016/distortion_images/img01_10.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,4.9901,21.563457,0.503173579299416,0.881020937135707,0.89959,0.33846295,3.3864393,0.5354326,0.4404287,0.33188486,-0.062946685,0.4350001,0.17910933,0.49628463,0.949943317145716,0.23808843,0.09152972,156.712902128276,0.38049972,24.003712,0.56335074,0.969058700502656,4.795175,0.50659186,0.46124563,0.47360995
MDID2016/distortion_images/img01_11.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,5.4749,23.10569,0.774729225943803,0.892263268783946,0.9031655,0.30809435,1.5571084,0.27274972,0.4376071,0.23067337,-0.05689496,0.54724056,0.34982714,0.51807004,0.883078140195181,0.18865478,0.10368657,155.2177125901,0.33669323,23.405285,0.15628436,0.97425028911229,3.6058965,0.39844236,0.6617834,0.36485168
MDID2016/distortion_images/img01_12.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,7.7382,32.590195,0.875933968992758,0.981208916902057,0.98642987,0.5516442,0.72521996,0.1553203,0.85312885,0.10769814,-0.019564386,0.87511915,0.52028316,0.6193258,0.998977958685044,0.060395718,0.021087503,74.6710004847998,0.13728301,33.023113,0.06594626,0.996044236264439,0.4716614,0.9854624,0.95301306,0.86112714
MDID2016/distortion_images/img01_13.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,5.26,22.429388,0.459314531045971,0.877495146132946,0.9031133,0.22864254,3.5521352,0.55420375,0.3878147,0.34064376,-0.0748914,0.34848627,0.151323,0.4639376,0.961451086756426,0.2571057,0.10184891,153.821702893476,0.41150412,24.423576,0.50033575,0.970262363113046,5.4358363,0.0021082477,0.44470596,0.28011543
MDID2016/distortion_images/img01_14.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,7.1555,28.504276,0.78425227176877,0.969972067959754,0.9740857,0.6226215,1.3364218,0.15875868,0.7258306,0.16294521,-0.020359598,0.74764204,0.26106262,0.58349,0.998276978840213,0.075464785,0.031124668,95.9533595378031,0.17724846,31.994194,0.2561924,0.991961857599082,0.646404,0.8452654,0.7824554,0.6503153
MDID2016/distortion_images/img01_15.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,3.1511,21.034454,0.325676262524754,0.826661060307492,0.8506759,0.12562855,4.904276,0.86915255,0.32919014,0.41605973,-0.09627153,0.15423805,-0.05872027,0.42547384,0.983362182845137,0.44831878,0.1561981,164.208965686831,0.54592013,23.106012,0.63632095,0.952900882662085,18.262253,1.6238137e-06,0.3164474,0.14274684
